,标题,学校,门类/专业,招生人数,发布时间,链接
0,华东双一流计算机招生物医学工程、心理学推免生和跨专业考研,安徽大学,工学 -> 计算机科学与技术  -> 计算机系统结构,3,2022-08-30 14:50,http://muchong.com/t-15396057-1
1,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-08-10 16:34,http://muchong.com/t-15380211-1
2,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-29 10:23,http://muchong.com/t-15370896-1
3,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-27 15:57,http://muchong.com/t-15369394-1
4,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-26 10:18,http://muchong.com/t-15368056-1
5,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  ,2,2022-07-22 09:38,http://muchong.com/t-15364821-1
6,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  ,2,2022-07-20 09:47,http://muchong.com/t-15362720-1
7,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-18 10:12,http://muchong.com/t-15360862-1
8,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-15 18:39,http://muchong.com/t-15359441-1
9,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-13 09:25,http://muchong.com/t-15356954-1
10,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-12 15:15,http://muchong.com/t-15356401-1
11,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-08 09:27,http://muchong.com/t-15353271-1
12,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-06 09:22,http://muchong.com/t-15351445-1
13,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-04 15:15,http://muchong.com/t-15349908-1
14,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-07-01 09:28,http://muchong.com/t-15347460-1
15,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-27 10:12,http://muchong.com/t-15343973-1
16,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-24 09:36,http://muchong.com/t-15342059-1
17,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-20 09:57,http://muchong.com/t-15338154-1
18,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-19 18:54,http://muchong.com/t-15337830-1
19,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-17 10:06,http://muchong.com/t-15336174-1
20,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-15 14:53,http://muchong.com/t-15334666-1
21,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-13 21:46,http://muchong.com/t-15333239-1
22,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-10 15:00,http://muchong.com/t-15330955-1
23,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-08 09:39,http://muchong.com/t-15328624-1
24,中科院医学所-科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机软件与理论,2,2022-06-07 08:31,http://muchong.com/t-15327315-1
25,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-06 15:41,http://muchong.com/t-15326797-1
26,中科院医学所-生物信息 科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-05 13:24,http://muchong.com/t-15325838-1
27,中科院医学所-科研助理转博士-杭州,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-06-01 09:30,http://muchong.com/t-15322527-1
28,北师港浸大（UIC）王田教授招计算机类博士（申请中）,北京师范大学－香港浸会大学联合国际学院,工学 -> 计算机科学与技术  -> 计算机系统结构,2,2022-05-24 21:46,http://muchong.com/t-15315995-1
29,澳门理工大学招收2022年度全额奖学金博士生2名（计算机与药物设计交叉学科）,澳门理工学院,工学 -> 计算机科学与技术  ,2,2022-05-07 16:17,http://muchong.com/t-15298259-1
30,湖南科技大学材料与化学工程与技术学术硕士招收1-2名调剂生,湖南科大,工学 -> 计算机科学与技术  -> 计算机软件与理论,1,2022-04-12 17:08,http://muchong.com/t-15269886-1
31,华南农业大学（广州，双一流）招调剂生（电子信息/人工智能专业，海外联培机会）,华南农业大学,工学 -> 计算机科学与技术  ,1,2022-04-12 09:54,http://muchong.com/t-15269005-1
32,华南农业大学人工智能学院龙拥兵教授2022年招收计算机科学与技术学术型硕士研究生,华南农业大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2022-04-11 17:46,http://muchong.com/t-15267998-1
33,五邑大学食品科学实验室（食品，生信等方向）,五邑大学,工学 -> 计算机科学与技术  ,2,2022-04-08 21:13,http://muchong.com/t-15262771-1
34,四川轻化工大学接收调剂研究生,四川理工,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2022-04-06 10:48,http://muchong.com/t-15256839-1
35,江西科技师范大学接收调剂研究生,江西科技师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,12,2022-04-06 09:17,http://muchong.com/t-15256559-1
36,兰州交大光电实验室招收大量计算机调剂生,兰州交大,工学 -> 计算机科学与技术  -> 计算机系统结构,0,2022-04-06 09:07,http://muchong.com/t-15256529-1
37,南昌大学软件学院调剂招收408考生,南昌大学,工学 -> 计算机科学与技术  ,7,2022-04-05 22:51,http://muchong.com/t-15255826-1
38,长江大学钻完井井筒流体技术团队招收调剂生,长江大学,工学 -> 计算机科学与技术  ,3,2022-04-05 19:34,http://muchong.com/t-15255486-1
39,招收调剂生-211高校,,工学 -> 计算机科学与技术  ,1,2022-04-05 19:12,http://muchong.com/t-15255458-1
40,中国科学院重庆分院、重庆交大联合培养,重庆交大,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-04-05 11:16,http://muchong.com/t-15254748-1
41,福建师范大学计网学院计算机科学与技术调剂,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,21,2022-04-05 08:01,http://muchong.com/t-15254401-1
42,双一流南京医科大学曹晨课题组统计或计算机（生物信息）方向招生,南京医科大,工学 -> 计算机科学与技术  ,2,2022-04-04 19:20,http://muchong.com/t-15253660-1
43,贵州财经大学计算机科学与技术硕士研究生调剂招生公告,贵州财经,工学 -> 计算机科学与技术  ,18,2022-04-04 16:14,http://muchong.com/t-15253339-1
44,南开大学计算机学院嵌入式系统与安全实验室招收博士研究生,南开大学,工学 -> 计算机科学与技术  ,2,2022-04-04 09:31,http://muchong.com/t-15252661-1
45,兰州交大接收调剂研究生,兰州交大,工学 -> 计算机科学与技术  -> 计算机系统结构,30,2022-04-04 08:48,http://muchong.com/t-15252558-1
46,兰州交大光电实验室招收计算机，通信调剂生,兰州交大,工学 -> 计算机科学与技术  -> 计算机系统结构,20,2022-04-03 01:31,http://muchong.com/t-15250385-1
47,计算机视觉/视觉大数据方向招收调剂生！！！,浙江科技,工学 -> 计算机科学与技术  ,10,2022-04-02 22:40,http://muchong.com/t-15250045-1
48,杭州智能计算团队招收计算机学硕/电子信息专硕2人,杭州师范,工学 -> 计算机科学与技术  ,2,2022-04-02 21:23,http://muchong.com/t-15249918-1
49,研究生招生调剂,大连大学,工学 -> 计算机科学与技术  ,0,2022-04-02 17:20,http://muchong.com/t-15249502-1
50,研究生招生调剂,大连大学,工学 -> 计算机科学与技术  ,0,2022-04-02 16:08,http://muchong.com/t-15249307-1
51,(211、双一流）河北工业大学人工智能院和数据科学学院接收408调剂,河北工大,工学 -> 计算机科学与技术  ,26,2022-03-31 23:18,http://muchong.com/t-15245454-1
52,河北工业大学人工智能院和数据科学学院接收408调剂,河北工大,工学 -> 计算机科学与技术  ,26,2022-03-31 22:30,http://muchong.com/t-15245346-1
53,河北农大计算机科学与技术专业硕士调剂,河北农大,工学 -> 计算机科学与技术  -> 计算机应用技术,4,2022-03-31 11:24,http://muchong.com/t-15243832-1
54,湖南工大接收调剂研究生,湖南工大,工学 -> 计算机科学与技术  -> 行政管理,2,2022-03-31 09:02,http://muchong.com/t-15243345-1
55,上海海洋大学大数据分析接收1名学术性硕士调剂,上海海洋大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2022-03-30 17:10,http://muchong.com/t-15242097-1
56,西安工大接收调剂研究生,西安工大,工学 -> 计算机科学与技术  -> 计算机系统结构,0,2022-03-30 13:26,http://muchong.com/t-15241243-1
57,佳木斯大学计算机科学与技术学硕调剂,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-03-30 12:59,http://muchong.com/t-15241192-1
58,桂林电子科技大学 计算机与信息安全学院 招收学硕调剂生,桂林电子科技大学,工学 -> 计算机科学与技术  ,1,2022-03-30 10:02,http://muchong.com/t-15240738-1
59,南京农业大学人工智能学院姜海燕教授团队学术型研究生调剂信息,南京农大,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-03-30 07:12,http://muchong.com/t-15240329-1
60,广西民族大学接收调剂研究生,广西民族大学,工学 -> 计算机科学与技术  -> 计算机系统结构,0,2022-03-29 22:55,http://muchong.com/t-15239569-1
61,西南石油接收调剂研究生,西南石油,工学 -> 计算机科学与技术  -> 计算机系统结构,0,2022-03-29 22:40,http://muchong.com/t-15239526-1
62,大连大学计算机专业招生调剂,大连大学,工学 -> 计算机科学与技术  ,0,2022-03-29 13:06,http://muchong.com/t-15237904-1
63,桂林电子科技大学大数据管理与分析研究组接收学硕调剂,桂林电子科技大学,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2022-03-29 09:16,http://muchong.com/t-15237231-1
64,帮导师发布：广东药科大学招收调剂生：专业课含数学+08开头+学硕【专硕勿投】,广东药学院,工学 -> 计算机科学与技术  ,3,2022-03-29 07:47,http://muchong.com/t-15237017-1
65,人工智能研究方向招收调剂生！！！,浙江科技,工学 -> 计算机科学与技术  ,10,2022-03-29 06:57,http://muchong.com/t-15236969-1
66,济南大学信息科学与工程学院、人工智能研究院2022年学术型硕士研究生调剂公告,济南大学,工学 -> 计算机科学与技术  ,30,2022-03-28 22:18,http://muchong.com/t-15236712-1
67,211高校招收调剂生,,工学 -> 计算机科学与技术  ,1,2022-03-27 20:28,http://muchong.com/t-15233922-1
68,汕头大学工学院医工系招收2022年调剂硕士研究生,汕头大学,工学 -> 计算机科学与技术  ,2,2022-03-27 17:11,http://muchong.com/t-15233466-1
69,沈阳理工大学2022年硕士研究生招生拟接收调剂专业及调剂工作办法,沈阳理工,工学 -> 计算机科学与技术  ,1410,2022-03-27 14:51,http://muchong.com/t-15233141-1
70,黑龙江大学-数据科学与技术学院-网络空间安全（学硕）和网络与信息安全（专硕）招调剂,黑龙江大学,工学 -> 计算机科学与技术  -> 计算机应用技术,0,2022-03-26 23:20,http://muchong.com/t-15230872-1
71,汕头大学工学院医工系招收2022年调剂硕士研究生,汕头大学,工学 -> 计算机科学与技术  ,2,2022-03-25 17:40,http://muchong.com/t-15226605-1
72,汕头大学工学院生物医学工程专业2022年研究生招生,汕头大学,工学 -> 计算机科学与技术  ,2,2022-03-25 16:05,http://muchong.com/t-15226329-1
73,郑州大学信息工程学院招085400电子信息调剂！,郑州大学,工学 -> 计算机科学与技术  ,16,2022-03-24 13:31,http://muchong.com/t-15223130-1
74,2022年天津科技大学滕波涛教授与中科院温晓东、刘星辰课题组联合招收调剂研究生,天津科大,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-03-23 20:49,http://muchong.com/t-15221722-1
75,（专硕+学硕）大连大学计算机专业招生调剂,大连大学,工学 -> 计算机科学与技术  ,0,2022-03-23 13:08,http://muchong.com/t-15220506-1
76,北京石油化工学院“抗疲劳制造及智能检测技术研究团队”招生需求,北京石油化工学院,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2022-03-23 09:14,http://muchong.com/t-15219845-1
77,（专硕+学硕）大连大学计算机专业招生调剂,大连大学,工学 -> 计算机科学与技术  ,0,2022-03-22 15:38,http://muchong.com/t-15218413-1
78,名额已招满请勿再联系,北京理工大学,工学 -> 计算机科学与技术  ,0,2022-03-22 12:06,http://muchong.com/t-15217864-1
79,2022 燕山大学（计算机）软件安全+数据挖掘方向 硕士生调剂 有大量名额！,燕山大学,工学 -> 计算机科学与技术  -> 计算机应用技术,15,2022-03-21 11:37,http://muchong.com/t-15215156-1
80,（专硕+学硕）大连大学计算机专业调剂信息,大连大学,工学 -> 计算机科学与技术  ,0,2022-03-19 19:36,http://muchong.com/t-15212036-1
81,河南理工大学 智慧地球探测课题组 欢迎工学跨专业调剂生,河南理工,工学 -> 计算机科学与技术  ,3,2022-03-19 11:44,http://muchong.com/t-15211103-1
82,桂林电子科技大学计算机专业接收调剂学硕,桂林电子科技大学,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2022-03-18 15:23,http://muchong.com/t-15209167-1
83,招收调剂生,,工学 -> 计算机科学与技术  ,2,2022-03-17 20:03,http://muchong.com/t-15207126-1
84,2022计算机学硕调剂 研究方向媒体分析与数据挖掘（学硕考研分大于320）,,工学 -> 计算机科学与技术  -> 计算机软件与理论,6,2022-03-17 17:25,http://muchong.com/t-15206765-1
85,长江大学钻完井井筒流体课题组-2022年硕士研究生接收调剂,长江大学,工学 -> 计算机科学与技术  ,6,2022-03-16 17:59,http://muchong.com/t-15203618-1
86,温州大学计算机学院调剂咨询,温州大学,工学 -> 计算机科学与技术  -> 计算机系统结构,5,2022-03-15 16:23,http://muchong.com/t-15199547-1
87,青海民族师范高等专科学校接收调剂研究生,青海民族师范高等专科学校,工学 -> 计算机科学与技术  -> 计算机应用技术,300,2022-03-15 13:21,http://muchong.com/t-15198872-1
88,济南大学信息科学与工程学院、人工智能研究院2022年学术型硕士研究生调剂公告,济南大学,工学 -> 计算机科学与技术  ,0,2022-03-14 20:22,http://muchong.com/t-15196460-1
89,研究方向包括：采矿工程、智能采矿、岩石力学等采矿相关领域,东北大学,工学 -> 计算机科学与技术  -> 计算机应用技术,15,2022-03-14 15:05,http://muchong.com/t-15194874-1
90,湖北汽车工业学院交通运输专硕智能网联汽车方向接收调剂,湖北汽院,工学 -> 计算机科学与技术  ,20,2022-03-14 10:57,http://muchong.com/t-15193902-1
91,招收土木，矿业和计算机交叉矿业方向的同学,河南理工,工学 -> 计算机科学与技术  ,4,2022-03-14 09:59,http://muchong.com/t-15193507-1
92,佛山科学技术学院-材料科学与氢能专业新能源材料方向招聘调剂生,,工学 -> 计算机科学与技术  ,1,2022-03-14 09:12,http://muchong.com/t-15193112-1
93,东北石油大学电子信息专业接收调剂（专硕，下设计算机技术、软件工程两个方向）,东北石油大学,工学 -> 计算机科学与技术  ,0,2022-03-14 02:48,http://muchong.com/t-15192722-1
94,东北石油大学计算机科学与技术专业接收调剂,东北石油大学,工学 -> 计算机科学与技术  ,0,2022-03-13 22:25,http://muchong.com/t-15192187-1
95,人工智能方向招收调剂生,浙江科技,工学 -> 计算机科学与技术  ,10,2022-03-12 17:05,http://muchong.com/t-15186823-1
96,2022年深水油气管线关键技术与装备北京市重点实验室调剂招生15名（计算机人数已满）,北京石油化工学院,工学 -> 计算机科学与技术  ,15,2022-03-12 10:29,http://muchong.com/t-15185070-1
97,仲恺农业工程学院接收调剂研究生,仲恺农业工程学院,工学 -> 计算机科学与技术  -> 计算机系统结构,16,2022-03-10 15:22,http://muchong.com/t-15177984-1
98,佳木斯大学 计算机学硕 接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-03-10 08:20,http://muchong.com/t-15176767-1
99,浙江理工大学欢迎凝聚态物理、电子信息等专业优秀学子调剂到理学院物理系继续深造,浙江理工,工学 -> 计算机科学与技术  -> 计算机软件与理论,4,2022-03-09 13:14,http://muchong.com/t-15175156-1
100,淮阴工学院队招收联合培养专硕 生物化学 分子生物学 食品科学 大农学 计算机科学,淮阴工学院,工学 -> 计算机科学与技术  ,6,2022-03-09 11:23,http://muchong.com/t-15174924-1
101,2022北京石油化工学院 “工控安全与智能控制”校级重点实验室招收研究生(有调剂名额),,工学 -> 计算机科学与技术  ,10,2022-03-09 10:19,http://muchong.com/t-15174708-1
102,长江大学张菲菲教授招收硕士生,长江大学,工学 -> 计算机科学与技术  ,4,2022-03-08 16:18,http://muchong.com/t-15173075-1
103,2022年中国林科院+林业装备与信息化+学术型硕士研究生+调剂信息+要求报考08工学,,工学 -> 计算机科学与技术  ,1,2022-03-07 10:03,http://muchong.com/t-15169178-1
104,哈尔滨师范大学人工智能实验室招收调剂生,哈师大,工学 -> 计算机科学与技术  ,0,2022-03-06 20:38,http://muchong.com/t-15168139-1
105,2022计算机学硕调剂,,工学 -> 计算机科学与技术  -> 计算机应用技术,0,2022-03-06 12:04,http://muchong.com/t-15167106-1
106,2022计算机学硕调剂,,工学 -> 计算机科学与技术  -> 计算机应用技术,8,2022-03-06 11:07,http://muchong.com/t-15167010-1
107,香港理工大学智慧停车方向研究助理\博士后招聘,香港理工大学,工学 -> 计算机科学与技术  ,0,2022-03-05 22:48,http://muchong.com/t-15166204-1
108,东北石油大学石油专业招生,东北石油大学,工学 -> 计算机科学与技术  ,10,2022-03-05 19:37,http://muchong.com/t-15165845-1
109,太原理工大学智能光学实验室招生2022级硕士研究生,太原理工,工学 -> 计算机科学与技术  ,0,2022-03-04 18:50,http://muchong.com/t-15163264-1
110,福建师范大学吴建宁课题组招收计算机学硕、电子信息专硕,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,0,2022-03-02 17:01,http://muchong.com/t-15156010-1
111,江南大学接收调剂研究生,江南大学,工学 -> 计算机科学与技术  -> 计算机软件与理论,8,2022-03-02 14:35,http://muchong.com/t-15154934-1
112,北京石油化工学院--焊接装备自动化与智能化研究方向课题组--招收调剂研究生,北京石油化工学院,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2022-03-01 22:44,http://muchong.com/t-15152030-1
113,石家庄铁道大学智能交通研究所调剂少量学硕（数一、英一）,石家庄铁道大学,工学 -> 计算机科学与技术  ,2,2022-03-01 20:38,http://muchong.com/t-15151479-1
114,山东省大数据发展创新实验室接收调剂,山东交通学院,工学 -> 计算机科学与技术  -> 计算机技术,4,2022-03-01 15:14,http://muchong.com/t-15149575-1
115,福建农林大学计算机科学与技术专业计算机视觉团队招收调剂研究生（学硕和专硕）,福建农林大学,工学 -> 计算机科学与技术  -> 计算机系统结构,5,2022-03-01 11:07,http://muchong.com/t-15148007-1
116,福建农林大学计算机科学与技术专业 多媒体安全方向 招收考研调剂 冯春晖课题组,福建农林大学,工学 -> 计算机科学与技术  ,3,2022-03-01 10:51,http://muchong.com/t-15147894-1
117,山东交通学院接收调剂研究生,山东交通学院,工学 -> 计算机科学与技术  -> 计算机应用技术,0,2022-02-28 22:46,http://muchong.com/t-15146031-1
118,福建农林大学计算机科学与技术专业黄世国实验室招收调剂生,福建农林大学,工学 -> 计算机科学与技术  ,0,2022-02-28 18:50,http://muchong.com/t-15144792-1
119,佳木斯大学 计算机科学与技术 学硕接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-02-28 16:04,http://muchong.com/t-15143767-1
120,哈尔滨理工大学 材料科学与化学工程学院 刘洋老师课题组招收调剂生（2022年2月发布）,哈尔滨理工大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-02-27 21:08,http://muchong.com/t-15139113-1
121,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,4,2022-02-26 10:22,http://muchong.com/t-15129817-1
122,东北石油大学接收调剂研究生,东北石油大学,工学 -> 计算机科学与技术  ,6,2022-02-25 21:42,http://muchong.com/t-15127800-1
123,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,4,2022-02-25 20:11,http://muchong.com/t-15127370-1
124,兰州交大接收调剂研究生,兰州交大,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-02-25 16:49,http://muchong.com/t-15126139-1
125,济南大学“智能数据分析与处理”课题组拟接收 计算机科学与技术 学硕调剂,济南大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-02-24 17:17,http://muchong.com/t-15118637-1
126,靠关系地铁辛苦辛苦个,东北林大,工学 -> 计算机科学与技术  -> 计算机应用技术,9,2022-02-23 15:47,http://muchong.com/t-15110048-1
127,佳木斯大学计算机科学与技术硕士扩招调剂硕士研究生,,工学 -> 计算机科学与技术  -> 计算机应用技术,4,2022-02-23 08:48,http://muchong.com/t-15106611-1
128,本帖已招满,西藏职业技术学院,工学 -> 计算机科学与技术  -> 模式识别与智能系统,0,2022-02-22 20:40,http://muchong.com/t-15104320-1
129,山东交通学院接收调剂研究生,山东交通学院,工学 -> 计算机科学与技术  ,2,2022-02-22 15:31,http://muchong.com/t-15102278-1
130,济南大学机器学习及其应用课题组拟接收计算机硕士（调剂及第一志愿）报考-预宣传,济南大学,工学 -> 计算机科学与技术  ,9,2022-02-22 14:10,http://muchong.com/t-15101555-1
131,辽宁石油化工大学-石油与天然气工程专业-接收2022年调剂研究生（名额5人）,辽宁石化,工学 -> 计算机科学与技术  -> 计算机应用技术,5,2022-02-22 12:33,http://muchong.com/t-15101007-1
132,中科院自动化所与哈尔滨理工大学联合培养招收调剂生,哈尔滨理工大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2022-02-21 21:01,http://muchong.com/t-15097423-1
133,--,南昌航空大学,工学 -> 计算机科学与技术  -> 计算机应用技术,0,2022-02-21 16:06,http://muchong.com/t-15095759-1
134,青岛农业大学“特聘教授”美国科学院院士招收专业硕士调剂生,青岛农业大学,工学 -> 计算机科学与技术  ,4,2022-02-21 15:58,http://muchong.com/t-15095708-1
135,人工智能方向招收电子信息类、计算机类、数理机械类调剂生,,工学 -> 计算机科学与技术  ,5,2022-02-21 12:35,http://muchong.com/t-15094662-1
136,佳木斯大学计算机科学与技术硕士扩招调剂硕士研究生,,工学 -> 计算机科学与技术  ,4,2022-02-21 09:48,http://muchong.com/t-15093876-1
137,全奖博士丨香港中文大学（深圳）招收计算成像 博士生，博后,香港中文大学,工学 -> 计算机科学与技术  -> 模式识别与智能系统,2,2022-02-20 18:43,http://muchong.com/t-15093015-1
138,重庆科技学院地质资源与地质工程专业张雷课题组招收2021年考研调剂研究生,重庆科技学院,工学 -> 计算机科学与技术  -> 计算机应用技术,4,2021-03-09 19:35,http://muchong.com/t-14655819-1
139,招收计算机、土木、矿业方向的同学,河南理工,工学 -> 计算机科学与技术  ,1,2021-03-05 13:28,http://muchong.com/t-14641746-1
140,福建农林大学计算机科学与技术专业计算机视觉课题组招收学术型硕士研究生,福建农林大学,工学 -> 计算机科学与技术  ,0,2021-03-02 16:23,http://muchong.com/t-14628863-1
141,福建农林大学计算机科学与技术专业黄世国实验室招收调剂生,福建农林大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2021-02-23 18:11,http://muchong.com/t-14607356-1
142,温州大学智能网络创新研究中心接收一志愿和调剂研究生,温州大学,工学 -> 计算机科学与技术  -> 计算机软件与理论,0,2021-01-26 14:23,http://muchong.com/t-14581225-1
143,中央民族大学接收调剂研究生,中央民族大学,工学 -> 计算机科学与技术  -> 计算机软件与理论,0,2018-03-22 10:08,http://muchong.com/t-12188021-1
